time,true_distance,true_velocity,true_acceleration,d_linenc,d_kalman,d_error
0.35,0.0619514,0.350999,1,0.05,0.0501057,0.0118457
0.351,0.0623039,0.351999,1,0.05,0.0501057,0.0121982
0.352,0.0626574,0.352999,1,0.05,0.0501057,0.0125517
0.353,0.0630119,0.353999,1,0.05,0.0501057,0.0129062
0.354,0.0633674,0.354999,1,0.05,0.0501057,0.0132617
0.355,0.0637238,0.355999,1,0.05,0.0501057,0.0136182
0.356,0.0640813,0.356999,1,0.05,0.0501057,0.0139757
0.357,0.0644398,0.357999,1,0.05,0.0501057,0.0143342
0.358,0.0647993,0.358999,1,0.05,0.0501057,0.0146937
0.359,0.0651598,0.359999,1,0.05,0.0501057,0.0150542
0.36,0.0655213,0.360999,1,0.05,0.0501057,0.0154156
0.361,0.0658838,0.361999,1,0.05,0.0501057,0.0157781
0.362,0.0662473,0.362999,1,0.05,0.0501057,0.0161416
0.363,0.0666118,0.363999,1,0.05,0.0501057,0.0165061
0.364,0.0669773,0.364999,1,0.05,0.0501057,0.0168716
0.365,0.0673438,0.365999,1,0.05,0.0501057,0.0172381
0.366,0.0677113,0.366999,1,0.05,0.0501057,0.0176056
0.367,0.0680798,0.367999,1,0.05,0.0501057,0.0179741
0.368,0.0684493,0.368999,1,0.05,0.0501057,0.0183436
0.369,0.0688198,0.369999,1,0.05,0.0501057,0.0187141
0.37,0.0691913,0.370999,1,0.05,0.0501057,0.0190856
0.371,0.0695638,0.371999,1,0.05,0.0501057,0.0194581
0.372,0.0699373,0.372999,1,0.05,0.0501057,0.0198316
0.373,0.0703118,0.373999,1,0.05,0.0501057,0.0202061
0.374,0.0706873,0.374999,1,0.05,0.0501057,0.0205816
0.375,0.0710638,0.375999,1,0.05,0.0501057,0.0209581
0.376,0.0714413,0.376999,1,0.05,0.0501057,0.0213356
0.377,0.0718198,0.377999,1,0.05,0.0501057,0.0217141
0.378,0.0721993,0.378999,1,0.05,0.0501057,0.0220936
0.379,0.0725798,0.379999,1,0.05,0.0501057,0.0224741
